k,window_size,accuracy,precision,recall,f1,total_test_flows,attack_flows,benign_flows,true_positives,false_positives,processing_time
2,80,0.9949144315000451,0.9950670083555374,0.999835157964144,0.9974453848225804,177168,175926,1242,175897,872,283.23232102394104
2,60,0.9944578639636996,0.9945106508072905,0.9999374744213542,0.9972166795156682,177188,175928,1260,175917,971,284.9839856624603
2,70,0.9945817200781135,0.9946343559530945,0.9999374744213542,0.9972788652868246,177178,175928,1250,175917,949,290.1458535194397
2,90,0.9951794443378227,0.9953092287670458,0.9998578947966759,0.9975783766616759,177158,175926,1232,175901,829,282.22859954833984
2,100,0.9950549822747081,0.9951013112194681,0.9999431579186704,0.9975163591412727,177148,175926,1222,175916,866,287.8835437297821
2,110,0.9951111562736398,0.9951295946419885,0.9999715789593352,0.99754471120587,177138,175926,1212,175921,861,292.56300497055054
2,120,0.9955004290682444,0.9955069404754494,0.9999829473756011,0.9977399239457468,177128,175926,1202,175923,794,280.98812556266785
2,130,0.9955284047922853,0.9955575425570445,0.9999602105430693,0.9977540197941185,177118,175926,1192,175919,785,289.34090304374695
2,140,0.9957144793007656,0.9957491127475675,0.9999545263349363,0.9978473886470313,177108,175926,1182,175918,751,291.9513840675354
2,150,0.9957594100441564,0.9958054308631982,0.9999431579186704,0.9978700050768188,177098,175926,1172,175916,741,287.31899309158325
4,60,0.9939329977199359,0.9940606368850837,0.9998635805556819,0.9969536645290366,177188,175928,1260,175904,1051,287.04897570610046
4,70,0.9941471288760455,0.9941680088158006,0.9999715792824337,0.9970613489456845,177178,175928,1250,175923,1032,291.30659198760986
4,80,0.9941693759595412,0.9941848308288735,0.9999772631674682,0.997072634374017,177168,175926,1242,175922,1029,284.1802272796631
4,90,0.9964156289865543,0.996409132358022,0.999994315791867,0.9981985049009178,177158,175926,1232,175925,634,284.861519575119
4,100,0.9958735068981869,0.9959968065047647,0.9998635790048088,0.9979264470194449,177148,175926,1222,175902,707,291.6779754161835
4,110,0.9957490769908207,0.995816610152221,0.9999204210861385,0.9978642963097423,177138,175926,1212,175912,739,289.11880016326904
4,120,0.9956980262860756,0.9957771035232316,0.9999090526698725,0.9978388006194304,177128,175926,1202,175910,746,287.68330550193787
4,130,0.995624386002552,0.995720665900613,0.9998920000454736,0.9978019734024601,177118,175926,1192,175907,756,288.1894986629486
4,140,0.9961492422702531,0.9962394943705684,0.9998976842536066,0.9980652372495731,177108,175926,1182,175908,664,286.2258574962616
4,150,0.9963014827948368,0.9963918547679061,0.9998976842536066,0.9981416910894797,177098,175926,1172,175908,637,288.1442234516144
6,60,0.7419351197598032,0.993488477865373,0.744969532990769,0.8514656583768613,177188,175928,1260,131061,859,286.4572124481201
6,70,0.7472767499350935,0.9927413719257907,0.7509719885407666,0.8550957732896239,177178,175928,1250,132117,966,281.85418367385864
6,80,0.9944120834462206,0.9944488411531939,0.9999545263349363,0.9971940843361884,177168,175926,1242,175918,982,282.4650123119354
6,90,0.9953092719493334,0.9953658909202017,0.9999317895024045,0.9976436160710488,177158,175926,1232,175914,819,292.2202179431915
6,100,0.996946056404814,0.9970243999206506,0.9999090526698725,0.998464642795315,177148,175926,1222,175910,525,286.48732137680054
6,110,0.9967200713567953,0.9967646342223506,0.9999431579186704,0.998351366152781,177138,175926,1212,175916,571,280.94664192199707
6,120,0.9963924393658823,0.9965102906769243,0.9998692632129418,0.9981869511554995,177128,175926,1202,175903,616,294.7884929180145
6,130,0.9965559683374925,0.9966346371753615,0.9999090526698725,0.9982691598331583,177118,175926,1192,175910,594,284.4798512458801
6,140,0.9964541409761276,0.9965330100497388,0.9999090526698725,0.9982181768658072,177108,175926,1182,175910,612,279.84711480140686
6,150,0.9965499328055653,0.9966289906801507,0.9999090526698725,0.9982663273094592,177098,175926,1172,175910,595,291.052729845047
8,60,0.22612705149332912,0.980653471723352,0.22502387340275568,0.36605223373417106,177188,175928,1260,39588,781,286.638347864151
8,70,0.6726568761358633,0.9931668395169114,0.6749749897685416,0.8037239586858528,177178,175928,1250,118747,817,290.9030637741089
8,80,0.9945531924501039,0.9946173635258531,0.9999261052942715,0.9972646694501844,177168,175926,1242,175913,952,292.7276568412781
8,90,0.9958680951467052,0.995912544299641,0.9999431579186704,0.9979237812141909,177158,175926,1232,175916,722,289.27828764915466
8,100,0.9969573463996206,0.9969849986681855,0.9999602105430693,0.9984703882489493,177148,175926,1222,175919,532,287.7405631542206
8,110,0.9967934604658515,0.9968267999410692,0.9999545263349363,0.9983882135276557,177138,175926,1212,175918,560,294.71999979019165
8,120,0.9965222889661713,0.99657825264279,0.9999317895024045,0.9982522046055543,177128,175926,1202,175914,604,289.583131313324
8,130,0.9965164466626769,0.9966119939945044,0.9998920000454736,0.9982493027003867,177118,175926,1192,175907,598,289.7413444519043
8,140,0.9965896515120717,0.9966685174902832,0.9999090526698725,0.9982861553129185,177108,175926,1182,175910,588,294.65281558036804
8,150,0.9968774350924346,0.9969622261894642,0.9999033684617396,0.9984306313516152,177098,175926,1172,175909,536,289.48166966438293
10,60,0.008228548208682303,0.5528281750266809,0.005888772679732618,0.011653412222584673,177188,175928,1260,1036,838,290.4254832267761
10,70,0.04652947882920001,0.8962157262633129,0.044961575189850396,0.08562737477943644,177178,175928,1250,7910,916,288.28159046173096
10,80,0.7695972184593155,0.993916794618703,0.7726998851789957,0.8694578760201601,177168,175926,1242,135938,832,287.5481011867523
10,90,0.9953826527732307,0.9954503270784762,0.9999204210861385,0.9976803670578094,177158,175926,1232,175912,804,287.32002329826355
10,100,0.9966242915528258,0.9968882137553422,0.9997214738014847,0.9983028335301063,177148,175926,1222,175877,549,287.1143147945404
10,110,0.9970531450055888,0.9970979663092027,0.9999431579186704,0.9985185353366217,177138,175926,1212,175916,512,289.92014718055725
10,120,0.9965505171401472,0.9966064822421011,0.9999317895024045,0.9982663666620323,177128,175926,1202,175914,599,290.77651810646057
10,130,0.9960308946577987,0.9961097866894681,0.9999090526698725,0.9980058038766265,177118,175926,1192,175910,687,292.36385774612427
10,140,0.9960871332746121,0.9961380997412187,0.9999374737105374,0.99803417082006,177108,175926,1182,175915,682,290.2880644798279
10,150,0.996278896430225,0.9963636569603117,0.9999033684617396,0.9981303744641494,177098,175926,1172,175909,642,287.70440006256104
12,60,0.2265221121069147,0.9791230189051293,0.22579691692055842,0.3669670529656026,177188,175928,1260,39724,847,295.5783443450928
12,70,0.2318967366151554,0.9789137072924431,0.2314242189986813,0.37434890745176286,177178,175928,1250,40714,877,293.1266145706177
12,80,0.0035841686986363224,0.17046688382193267,0.0008924206768755044,0.001775546093515864,177168,175926,1242,157,764,298.841744184494
12,90,0.21870307860779642,0.979105468849779,0.2178813819446813,0.35644310124375217,177158,175926,1232,38331,818,295.3087348937988
12,100,0.9957888319371373,0.9964856592223104,0.9992837897752465,0.9978827629659482,177148,175926,1222,175800,620,291.41555070877075
12,110,0.9964547415009767,0.9965723933192829,0.9998692632129418,0.998218106085111,177138,175926,1212,175903,605,285.7022566795349
12,120,0.9968327988799061,0.9969846227094186,0.999835157964144,0.9984078557136978,177128,175926,1202,175897,532,291.0862383842468
12,130,0.9965108007091318,0.9966795104261106,0.9998181053397451,0.9982463408682032,177118,175926,1192,175894,586,289.03231549263
12,140,0.9966574067800438,0.9968319996372951,0.9998124211316122,0.9983199859242063,177108,175926,1182,175893,559,292.232262134552
12,150,0.9967306237224588,0.9968998135354028,0.9998181053397451,0.9983568268311164,177098,175926,1172,175894,547,294.46926832199097
14,60,0.6962774002754137,0.9929834477190149,0.6990416534036651,0.8204804888951157,177188,175928,1260,122981,869,290.89939737319946
14,70,0.22698077639436048,0.9775011028871133,0.22670637988267928,0.36805241544779216,177178,175928,1250,39884,918,283.61907601356506
14,80,0.007478777205815948,0.5228147333699835,0.005405681934449712,0.01070072294579313,177168,175926,1242,951,868,294.2562565803528
14,90,0.009420968852662595,0.6457638425617078,0.005502313472710117,0.010911652811046921,177158,175926,1232,968,531,289.6484479904175
14,100,0.0349764039108542,0.9235354223433242,0.030825460705069176,0.059659622218066206,177148,175926,1222,5423,449,290.5394992828369
14,110,0.30327202520069096,0.9914088382278623,0.30108113638688994,0.46189062275182796,177138,175926,1212,52968,459,286.90839076042175
14,120,0.73383654758141,0.9966984734296536,0.7344508486522743,0.8457110317675897,177128,175926,1202,129209,428,287.78156566619873
14,130,0.7379035445296356,0.9965415701731516,0.7386912679194662,0.8484585351840487,177118,175926,1192,129955,451,285.26726627349854
14,140,0.7370474512726698,0.9954649568328239,0.7386457942544025,0.848038112019317,177108,175926,1182,129947,592,288.587039232254
14,150,0.7373431659307276,0.9958921537070248,0.7386401100462695,0.848189342314822,177098,175926,1172,129946,536,287.215439081192
16,60,0.7131182698602614,0.993234078793805,0.7159406120685735,0.8320935456167008,177188,175928,1260,125954,858,287.85921025276184
16,70,0.5011062321507185,0.9901011164238603,0.5025862852985312,0.6667320185046243,177178,175928,1250,88419,884,287.963992357254
16,80,0.2266097715163009,0.9785250418183608,0.2261121153212146,0.3673410965102642,177168,175926,1242,39779,873,282.6680302619934
16,90,0.0036633965161042685,0.1660939289805269,0.0008242101792799245,0.0016402807708188396,177158,175926,1232,145,728,282.079430103302
16,100,0.009585205590805428,0.6588785046728972,0.0056103134272364515,0.011125890522139057,177148,175926,1222,987,511,289.05772852897644
16,110,0.009055086994320812,0.6528861154446178,0.004757682207291702,0.009446526116202428,177138,175926,1212,837,445,280.6184723377228
16,120,0.00892574861117384,0.6458814472671286,0.004769050623557632,0.009468190153759345,177128,175926,1202,839,460,286.9945938587189
16,130,0.29784663331790107,0.9929634020421431,0.29518092834487225,0.45507922041503085,177118,175926,1192,51930,368,289.7610766887665
16,140,0.3014996499311155,0.9905490210815077,0.2996657685617817,0.4601305706355718,177108,175926,1182,52719,503,281.42329716682434
16,150,0.2973777230685835,0.9904562339270406,0.29554471766538204,0.45524710950394226,177098,175926,1172,51994,501,286.7782299518585
