k,window_size,accuracy,precision,recall,f1,total_test_flows,attack_flows,benign_flows,true_positives,false_positives,processing_time
2,70,0.9964683778553165,0.996683297426012,0.9997725140046065,0.9982255156651477,70789,70334,455,70318,234,113.82933115959167
2,80,0.9962983370773817,0.9965278761939854,0.9997582961298945,0.9981404724051783,70779,70334,445,70317,245,115.41125750541687
2,60,0.9972174748230908,0.9972492024104928,0.9999573463758638,0.9986014383177504,70799,70334,465,70331,194,115.62521052360535
2,90,0.9967782503638599,0.9968251268531905,0.9999431285011516,0.9983816932598943,70769,70334,435,70330,224,115.79354238510132
2,100,0.9970604446077531,0.9971077778092835,0.9999431285011516,0.9985234403839055,70759,70334,425,70330,204,113.92648839950562
2,110,0.9970600291170193,0.9971077778092835,0.9999431285011516,0.9985234403839055,70749,70334,415,70330,204,112.5565128326416
2,120,0.9971585688234214,0.9972208436724566,0.9999289106264395,0.9985730411262326,70739,70334,405,70329,196,113.39358639717102
2,130,0.997780259865119,0.9978433904172755,0.9999289106264395,0.9988850619607286,70729,70334,395,70329,152,113.47994542121887
2,140,0.997864788812059,0.9979283433841788,0.9999289106264395,0.9989276253648559,70719,70334,385,70329,146,114.12459754943848
2,150,0.9979634841392185,0.9980274734631323,0.9999289106264395,0.9989772872544425,70709,70334,375,70329,139,114.0727391242981
4,60,0.9973869687424963,0.9978142696964106,0.9995592458839253,0.9986859955536931,70799,70334,465,70303,154,114.4972734451294
4,70,0.9973159671700406,0.9974046234576656,0.9999004748770154,0.9986509897475221,70789,70334,455,70327,183,116.8409514427185
4,90,0.9971456428662268,0.9974324055948024,0.9997014246310462,0.9985656261538899,70769,70334,435,70313,181,110.47623348236084
4,100,0.9972582992976159,0.9975456118945606,0.9997014246310462,0.9986223547791507,70759,70334,425,70313,173,114.02909183502197
4,80,0.9967221916105059,0.9972901651438625,0.9994170671368043,0.9983524833472993,70779,70334,445,70293,191,115.99544477462769
4,110,0.9978232907885624,0.9981120290719132,0.9997014246310462,0.9989060946157124,70749,70334,415,70313,133,116.42196822166443
4,120,0.9975543900818502,0.9978429007308592,0.9997014246310462,0.9987712980916058,70739,70334,405,70313,152,111.61504554748535
4,130,0.9977661213929223,0.99805535841022,0.9997014246310462,0.9988777133765201,70729,70334,395,70313,137,113.72580480575562
4,140,0.9978789292835023,0.9981545624893532,0.9997156425057583,0.9989344926053787,70719,70334,385,70314,130,116.20139503479004
4,150,0.9976664922428545,0.9979420655984331,0.9997156425057583,0.9988280667362724,70709,70334,375,70314,145,113.04398083686829
6,60,0.9968078645178604,0.9974597678312945,0.9993317598885318,0.9983948863636364,70799,70334,465,70287,179,116.70638608932495
6,70,0.9977538883159813,0.9980977527930384,0.9996445531321978,0.9988705541388153,70789,70334,455,70309,134,114.5517213344574
6,90,0.9968630332490215,0.9977141721327768,0.9991327096425626,0.9984229370311435,70769,70334,435,70273,161,113.22028756141663
