Second,Packets_s,Bytes_s,New_Flow_s
2025-08-21 09:52:27,68,1108,7
2025-08-21 09:52:28,42,744,4
2025-08-21 09:52:29,0,0,0
2025-08-21 09:52:30,0,0,0
2025-08-21 09:52:31,0,0,0
2025-08-21 09:52:32,0,0,0
2025-08-21 09:52:33,10,135,1
2025-08-21 09:52:34,0,0,0
2025-08-21 09:52:35,0,0,0
2025-08-21 09:52:36,5,0,1
2025-08-21 09:52:37,40,160,7
2025-08-21 09:52:38,6,36,1
2025-08-21 09:52:39,2,0,1
2025-08-21 09:52:40,28,0,6
2025-08-21 09:52:41,0,0,0
2025-08-21 09:52:42,0,0,0
2025-08-21 09:52:43,0,0,0
2025-08-21 09:52:44,0,0,0
2025-08-21 09:52:45,0,0,0
2025-08-21 09:52:46,4,24,1
2025-08-21 09:52:47,0,0,0
2025-08-21 09:52:48,14,134,2
2025-08-21 09:52:49,0,0,0
2025-08-21 09:52:50,0,0,0
2025-08-21 09:52:51,13,78,2
2025-08-21 09:52:52,0,0,0
2025-08-21 09:52:53,25,250,3
2025-08-21 09:52:54,70,5114,1
2025-08-21 09:52:55,0,0,0
2025-08-21 09:52:56,0,0,0
2025-08-21 09:52:57,0,0,0
2025-08-21 09:52:58,0,0,0
2025-08-21 09:52:59,73,25854,10
2025-08-21 09:53:00,370,56202,24
2025-08-21 09:53:01,239,29896,25
2025-08-21 09:53:02,0,0,0
2025-08-21 09:53:03,8,532,2
2025-08-21 09:53:04,41,15004,2
2025-08-21 09:53:05,0,0,0
2025-08-21 09:53:06,7,42,1
2025-08-21 09:53:07,0,0,0
2025-08-21 09:53:08,0,0,0
2025-08-21 09:53:09,28,794,9
2025-08-21 09:53:10,20,536,7
2025-08-21 09:53:11,14,228,4
2025-08-21 09:53:12,3,18,1
2025-08-21 09:53:13,0,0,0
2025-08-21 09:53:14,0,0,0
2025-08-21 09:53:15,4,24,1
2025-08-21 09:53:16,0,0,0
2025-08-21 09:53:17,0,0,0
2025-08-21 09:53:18,56,0,1
2025-08-21 09:53:19,3,354,1
2025-08-21 09:53:20,0,0,0
2025-08-21 09:53:21,85,10956,1
2025-08-21 09:53:22,0,0,0
2025-08-21 09:53:23,0,0,0
2025-08-21 09:53:24,45,0,1
2025-08-21 09:53:25,0,0,0
2025-08-21 09:53:26,0,0,0
2025-08-21 09:53:27,738,321152,29
2025-08-21 09:53:28,53628,59305586,38
2025-08-21 09:53:29,479,82493,25
2025-08-21 09:53:30,4,604,1
2025-08-21 09:53:31,4,604,1
2025-08-21 09:53:32,37,856,6
2025-08-21 09:53:33,31,676,6
2025-08-21 09:53:34,102,968,17
2025-08-21 09:53:35,10,105,1
2025-08-21 09:53:36,25,0,1
2025-08-21 09:53:37,0,0,0
2025-08-21 09:53:38,154,9690,1
2025-08-21 09:53:39,13,36,2
2025-08-21 09:53:40,5,30,1
2025-08-21 09:53:41,6,36,1
2025-08-21 09:53:42,0,0,0
2025-08-21 09:53:43,0,0,0
2025-08-21 09:53:44,24,7499,1
2025-08-21 09:53:45,0,0,0
2025-08-21 09:53:46,22,392,2
2025-08-21 09:53:47,0,0,0
2025-08-21 09:53:48,10,190,1
2025-08-21 09:53:49,28,503,3
2025-08-21 09:53:50,10,190,1
2025-08-21 09:53:51,0,0,0
2025-08-21 09:53:52,6,144,1
2025-08-21 09:53:53,0,0,0
